"date","accountName","totalFollowers","totalFollowing"
"7/15/2018 15","crownsdesire",0,2
"date","accountName","totalFollowers","totalFollowing"
"7/15/2018 15","crownsdesire",0,2
"date","accountName","totalFollowers","totalFollowing"
"7/15/2018 16","crownsdesire",0,2
